approachable.,,,,
"As a teacher in our major class, she really is doing her best in order for us to understand and apply the lessons that we've learned in the near future.",,,,
Can make us understood the topic.,,,,
Experience.,,,,
Friendly to students.tries her best to teach.has a lot of patience with slow students.,,,,
Good in making Activities.,,,,
her confidence.,,,,
her respectfulness.,,,,
Kind.,,,,
knows the topics to be discussed....,,,,
very knowledgable.,,,,
she gives us time to understand the program.,,,,
She is funny and approachable.,,,,
She answers any questions about the topic.,,,,
She knows the course well.,,,,
she knows the subject.,,,,
she knows the subject very well.,,,,
She knows what shes teaching.,,,,
She's good in teaching us the lesson.,,,,
very good in econ and very smart.,,,,
Very jolly!,,,,
Very thorough during discussions.,,,,
dunno, but there is always room for improvement somehow.,,,
everything.,,,,
Giving Activities.,,,,
her speed in teaching... she is very fast in teaching.,,,,
this is a major subject!,,,,
she should be able to deliver the lesson well, and easy to understand.she just gave 1 week for the major project, which is a big thing for me because this is a major project, the time making for this must be big.and also, during lecture time.
.,,,,
she just display the problem then we answer it on our own.,,,,
.,,,,
which i prefer she should discuss first because it would really affect our scores.,,,,
Her voice and not too fast in talking.,,,,
Her way of teaching.,,,,
make his tests easier.,,,,
and should give us short activities to pull our grades up.,,,,
More examples and techniques.,,,,
More on the lecture part, sometimes i don't get it.,,,
more teaching techniques to improve our knowledge.,,,,
proper record of grades.,,,,
.,,,,
pls :(.,,,,
she should let the student learn the program.,,,,
sometimes she's very fast in teaching.,,,,
sources.,,,,
Teaching method.,,,,
the way she discuss.,,,,
Field-related.,,,,
Group Projects.,,,,
Hands-on activity.,,,,
Hmmm...,,,,
interesting and stimulating.,,,,
its all about programming.,,,,
It's fun if you can run the program.,,,,
making programs.,,,,
Programming.,,,,
the cold room.,,,,
the different programs.,,,,
the topic.,,,,
topics being discussed.,,,,
difficult.,,,,
but the teaching is hard.,,,,
we kind of dont understand it sometimes and the projects are too long and we're given small period of time.,,,,
improper record of grades.,,,,
it is hard to understand,.,,,
.,,,,
the time for discussion is very fast.it teaches us to cheat, to aim for high scores because of the pressure....,,,
we should aim to learn!,,,,
Link list :(.,,,,
math.,,,,
more on logic.,,,,
Participation.,,,,
programming itself.,,,,
Programmingg.,,,,
room is too cold sometimes.,,,,
So hard sometimes.,,,,
The fact that it is programming and it requires a lot of effort.,,,,
And there are times that are very confusing and it's hard.,,,,
I'm on the stage where I just want to pass and not learn.,,,,
Best teacher ever.,,,,
Good Programming teacher.,,,,
hehe.,,,,
hi miss.,,,,
Hi miss :).,,,,
Hi Miss!,,,,
xd.,,,,
I love programming.,,,,
improve her discussions more efficiently.,,,,
More examples miss.,,,,
no comment :).,,,,
Please be more clear and consistent during your classes.,,,,
She should improve her voice and try not too fast in talking while she is discussing.,,,,
shes a good teacher.,,,,
Thank you and God Bless.,,,,
thank you for teaching us.,,,,
Thank you for teaching us Ms. :).,,,,
Thank you miss.,,,,
Thank you miss <3.,,,,
Explanation is clarifying.,,,,
family, loved ones.,,,
full knowledge of the subjectask frequently if the student have got the lesson.,,,,
good and understanding teacher.,,,,
Helps the students in understanding fully about the course.,,,,
Her knowledge about programming and the way she teach us.,,,,
Her lessons and personality.,,,,
knows the tricks in programming.,,,,
lessons.,,,,
me.,,,,
