Sentence,Positive,Negative
Correct knowledge to share to class.,0.625,0.125
Expounding problems.,0.0,0.0
Her intelligence on the course.,0.0,0.0
Her teaching skills and she's so kind teacher ,I wish she will be our teacher in 126.,0.875,0.0
.,0.0,0.0
:).,0.0,0.0
Humble and a good motivator.,1.0,0.375
knowledge of the topics.,0.0,0.0
None to mention.,0.0,0.0
She always makes sure we understand.,0.125,0.0
she discuss well, patience and many more.,0.0,0.0
she encourages students to keep up with the lessons and she explains the lessons very well.,0.0,0.0
she explains everything what happen in the topic.,0.0,0.0
She is organized.,0.0,0.0
She is really good in the field that she is teaching.,1.25,0.25
She has passion for her work and strives hard to let the students understand and catch up with the lessons.,0.0,0.0
She is very well versed in the subject.,0.0,0.0
She knows her students well.,0.0,0.0
She understands her students and let them learn in the best way.,0.75,0.0
she knows the weaknesses of his/her students and always reminding them to study.,0.0,0.0
she makes it fun and gives a good vibe.,1.0,0.0
she really want her students to understand the topics/lessons.,0.0,0.0
She teaches well and gets along with the students.,0.0,0.0
:).,0.0,0.0
she understands when her students are in trouble in programming.,0.0,0.0
she's good at teaching and motivating her students.,1.0,0.0
Strong base of the subject.,0.0,0.0
The Codes.,0.0,0.0
the way of finding a way.,0.0,0.0
Very approachable.,0.25,0.0
Discussion techniques.,0.0,0.0
Dunno.,0.0,0.0
Explanation of codes.,0.0,0.0
give us more time on those codes.,0.0,0.0
Giving us too much new lesson that could make our brains overflow.,0.375,0.0
Her voice?,0.0,0.0
i can't think of something.,0.0,0.0
Maybe have little graded exercises before the long exams like a seatwork or something.,0.0,0.625
more fun activities.,0.0,0.0
nothing she's good enough.,1.0,0.0
she need to give more examples for the students to understand more about the topic.,0.0,0.0
She should give more problem examples and explain further.,0.0,0.0
she would give us a new subject to learn on but we haven't even tried coding it yet then we would have a practical about it.,0.5,0.0
Shes the best.,0.75,0.0
The allocation of time for lab practices.,0.0,0.0
The loudness of her voice.,0.0,0.0
Hahaha.,0.0,0.0
time.,0.0,0.0
Voice modulation.,0.0,0.0
Coding.,0.0,0.0
I can learn new things about coding and strengthen my programming skills.,0.25,0.0
It helps me achieve my goal.,0.0,0.0
It teaches me about programming.,0.0,0.0
It's challenging yet very fun.,0.5,0.0
It helps me think.,0.0,0.0
It's it.,0.0,0.0
it's my favorite class of course; computers.,0.375,0.125
Its my major.,0.125,0.375
it's my major course.,0.125,0.375
learning more about c pogramming.,0.0,0.0
Logic.,0.0,0.0
my major.,0.0,0.0
none really.,0.0,0.0
Programming.,0.0,0.0
programming.,0.0,0.0
she makes it very interesting.,0.625,0.25
students and teachers are helping to each other.,0.0,0.25
the computer screen and ppt slides.,0.0,0.0
the programming codes , it's so challenging.,0.5,0.0
.,0.0,0.0
:).,0.0,0.0
The teacher.,0.0,0.0
This is a programming course.,0.0,0.0
So yeah, I like this a lot since it's my major course.,0.125,0.375
to learn more about programming.,0.0,0.0
topics.,0.0,0.0
it all feels too fast.,0.0,0.0
it gets hard from time to time.,0.0,0.0
It's a bit hard.,0.0,0.0
its a little bit hard and complex.,0.0,0.0
its hard.,0.0,0.0
It's it.,0.0,0.0
It's really hard.,0.375,0.0
Huhuhu.,0.0,0.0
It's so hard.,0.0,0.0
Its very difficult and i didnt expect this.,0.0,0.875
Logic.,0.0,0.0
None to mention.,0.0,0.0
programming.,0.0,0.0
Programming.,0.0,0.0
simply put, the syllabus.,0.0,0.0
The course itself, the fact that we need to come 7:30 am in the freaking morning......,0.0,0.0
Waking up early :D.,0.125,0.0
the paper.,0.0,0.0
the schedule is too early.,0.0,0.0
time.,0.0,0.0
too early.,0.0,0.0
very hard problems.,0.25,0.25
my brain will explode lol.,0.0,0.0
best teacher in it i ever had :D.,0.0,0.0
Hope to have her as a teacher again!!,0.0,0.0
Hi miss!,0.0,0.0
I hope to learn and understand more about 121.,0.0,0.0
i think the 60% passing for tests is too much, when almost everyone is falling below 50%.,0.0,0.0
also near the end of the semester it felt like we were rushing through all the topics even though we have not fully understood it yet.,0.0,0.0
imporve.,0.0,0.0
it 121 is cool!,0.25,0.125
Keep up the good work.,0.0,0.0
more hands-on but not recorded.,0.0,0.0
more tutorials :).,0.0,0.0
More Tutorials for everyone!!!,0.0,0.0
none.,0.0,0.0
just keep up the good work.,1.0,0.0
ok cool I failed lol.,0.375,0.0
Orayt.,0.0,0.0
please keep on being patient with students ma'am.,0.0,0.0
Teacher is the best, she try her best in order us to learn.,1.5,0.0
.,0.0,0.0
Thank you for everything :).,0.0,0.0
This is probably too late, but I think this will apply to the freshmen, we hope to have teachers that are passionate in the course that they are teaching.,0.5,0.375
Because it's really hard to catch up.,0.375,0.0
:(.,0.0,0.0
We need more hands on practices :<.,0.0,0.0
Answering questions immediately and satisfies our questions.,0.0,0.0
confident with what she's teching.,0.125,0.375
easy to talk with, jamming, great teaching skills.,0.375,0.0
Good at teaching and knows what activities to give in order for her students to learn.,1.0,0.0
Good ways in teaching and helps the student understand the topic.,1.0,0.0
Her coding ability.,0.0,0.0
Her Compassion.,0.0,0.0
Her joyfulness, her attitude and teaching ability.,0.0,0.0
her way of communicating to her students.,0.0,0.0
i like her style of teaching.,0.0,0.0
Knows the subject well.,0.0,0.0
on how easy to approach for questions.,0.375,0.0
sees to it that her students understands the lesson.,0.0,0.0
She has great teaching style.,0.0,0.0
She makes sure her students understand.,0.125,0.0
She is patient, approachable she always do her best to make her students learn from her.,0.75,0.0
She is very approachable.,0.625,0.0
She helps during coding.,0.0,0.0
She is very fun and understanding.,0.0,0.0
She really knows the subject well.,0.0,0.0
She really strives for her students to pass the subject.,0.0,0.0
she's good in programming.,1.0,0.0
vast knowledge of the topic.,0.0,0.125
Her voice.,0.0,0.0
his way of teaching.,0.0,0.0
i don't know cause she's really good.,1.375,0.0
Loudness of her voice.,0.0,0.0
Needs to talk loudly and clearly.,0.0,0.0
None, She's a premium package.,0.75,0.0
Nothing, all the she can do is to maintain her positive attitudes.,0.75,0.0
Nothing.,0.0,0.0
She's a great teacher.,0.0,0.0
She has nothing to improve.,0.0,0.0
She is super duper strict with checking during exams.,0.375,0.375
She discusses really well but her tests are extremely hard.,0.25,0.125
She should have provided more projects and group activities that promote active learning.,0.5,0.125
Should ask if students understood clearly the lessons discussed.,0.0,0.0
Very hard practicals like WTF?!,0.25,0.0
voice execution.,0.0,0.0
voice exucution.,0.0,0.0
discusses a bit too fast... just a bit.,0.0,0.0
bst.,0.0,0.0
Challenging and Interesting.,0.375,0.0
coding.,0.0,0.0
cursor based implementation of lists.,0.0,0.0
Even though that this course is very hard, the positive attitudes that the teacher has makes us motivate and determined.,0.625,0.125
Everything.,0.0,0.0
flexible.,0.0,0.0
how useful it can be.,0.0,0.0
I get to learn more techniques in programming.,0.0,0.0
I like the fact that we don't get to read books and we just need to use our brains for the thinking of the code.,0.0,0.0
It covers a wide range of topics.,0.0,0.0
It was really challenging.,0.875,0.0
it's challenging.,0.5,0.0
its fun and challenging.,0.5,0.0
Machine Problems.,0.0,0.0
nothing much.,0.0,0.0
Programming.,0.0,0.0
Programming and she helps us understand it.,0.0,0.0
Techies.,0.0,0.0
The programming.,0.0,0.0
very approachable.,0.25,0.0
coding.,0.0,0.0
Coding standards.,0.0,0.0
cursor-based.,0.0,0.0
Difficult.,0.0,0.625
how hard it can be at times when not properly following the discussion.,0.0,0.0
I get a hard time getting the logics of the code.,0.0,0.0
The quizzes are so difficult.,0.0,0.625
I hate the tests because they really hurt my brain.,0.0,0.0
It makes me doubt if I really am for my course.,0.0,0.0
it's hard.,0.0,0.0
media.,0.0,0.0
None so far.,0.0,0.0
Practicals and written exams make my life harder than it was.,0.0,0.0
pressures and hard problems.,0.0,0.0
queue.,0.0,0.0
recurssions.,0.0,0.0
Topics not explained thoroughly due to the lack in time.,0.625,0.0
